S11;S22;S33;S12;S13;S23;theta
32.2109;-17.5674;-14.6435;0;0;0;2.042
31.892;-16.9105;-14.9815;0;0;0;2.0595
31.5776;-16.2661;-15.3114;0;0;0;2.0769
31.2678;-15.6339;-15.6339;0;0;0;2.0944
30.9625;-15.0132;-15.9493;0;0;0;2.1118
30.6618;-14.4036;-16.2582;0;0;0;2.1293
30.3656;-13.8046;-16.561;0;0;0;2.1468
30.0738;-13.2157;-16.8581;0;0;0;2.1642
29.7863;-12.6363;-17.15;0;0;0;2.1817
29.503;-12.0661;-17.437;0;0;0;2.1991
29.2238;-11.5044;-17.7194;0;0;0;2.2166
28.9484;-10.9509;-17.9976;0;0;0;2.234
28.6768;-10.405;-18.2719;0;0;0;2.2515
28.4088;-9.8663;-18.5425;0;0;0;2.2689
28.144;-9.3343;-18.8097;0;0;0;2.2864
27.8824;-8.8086;-19.0738;0;0;0;2.3038
27.6237;-8.2888;-19.3349;0;0;0;2.3213
27.3677;-7.7745;-19.5932;0;0;0;2.3387
27.114;-7.2652;-19.8488;0;0;0;2.3562
26.8625;-6.7605;-20.1019;0;0;0;2.3736
26.6128;-6.2601;-20.3527;0;0;0;2.3911
26.3647;-5.7636;-20.6011;0;0;0;2.4086
26.1178;-5.2707;-20.8472;0;0;0;2.426
25.872;-4.781;-21.0911;0;0;0;2.4435
25.6269;-4.2941;-21.3327;0;0;0;2.4609
25.3821;-3.8099;-21.5722;0;0;0;2.4784
25.1376;-3.3281;-21.8095;0;0;0;2.4958
24.8933;-2.8483;-22.045;0;0;0;2.5133
24.6491;-2.3704;-22.2787;0;0;0;2.5307
24.4051;-1.8941;-22.5109;0;0;0;2.5482
24.1609;-1.4192;-22.7418;0;0;0;2.5656
23.9167;-0.94533;-22.9714;0;0;0;2.5831
23.6723;-0.47236;-23.1999;0;0;0;2.6005
23.4275;1.8392e-15;-23.4275;0;0;0;2.618
23.1822;0.472;-23.6542;0;0;0;2.6354
22.9364;0.94389;-23.8803;0;0;0;2.6529
22.6898;1.4159;-24.1057;0;0;0;2.6704
22.4423;1.8883;-24.3307;0;0;0;2.6878
22.1938;2.3614;-24.5552;0;0;0;2.7053
